timestamp,signal_type,price,1min_close,3min_close,rsi,vwap
2025-02-28 12:00:01,BREAKOUT SHORT,22237.4,22237.4,22237.4,41.30385750062783,nan
2025-02-28 12:01:01,BREAKOUT SHORT,22237.4,22234.5,22237.4,41.30385750062783,nan
2025-02-28 12:02:00,BREAKOUT SHORT,22237.35,22237.35,22237.35,41.283286424241,nan
2025-02-28 12:03:00,BREAKOUT SHORT,22231.25,22231.25,22231.25,38.9185492600346,nan
2025-02-28 12:04:01,BREAKOUT SHORT,22231.25,22226.55,22231.25,38.9185492600346,nan
2025-02-28 12:05:01,BREAKOUT SHORT,22226.0,22226.0,22226.0,36.9564841555686,nan
2025-02-28 12:06:00,BREAKOUT SHORT,22223.35,22223.35,22223.35,36.03937589968743,nan
2025-02-28 12:07:00,BREAKOUT SHORT,22223.35,22222.15,22223.35,36.03937589968743,nan
2025-02-28 12:08:00,BREAKOUT SHORT,22222.2,22222.2,22222.2,35.62619894200459,nan
2025-02-28 12:09:00,BREAKOUT SHORT,22225.15,22225.15,22225.15,37.17973345503337,nan
2025-02-28 12:10:01,BREAKOUT SHORT,22225.15,22218.1,22225.15,37.17973345503337,nan
2025-02-28 12:11:00,BREAKOUT SHORT,22221.35,22221.35,22221.35,35.73138206283021,nan
2025-02-28 12:12:01,BREAKOUT SHORT,22220.6,22220.6,22220.6,35.45875509082995,nan
2025-02-28 12:13:00,BREAKOUT SHORT,22220.6,22224.7,22220.6,35.45875509082995,nan
2025-02-28 12:14:01,BREAKOUT SHORT,22221.75,22221.75,22221.75,36.26180041443152,nan
2025-02-28 12:15:01,BREAKOUT SHORT,22222.55,22222.55,22222.55,36.80875563703025,nan
2025-02-28 12:16:00,BREAKOUT SHORT,22222.55,22224.0,22222.55,36.80875563703025,nan
2025-02-28 12:17:00,BREAKOUT SHORT,22229.05,22229.05,22229.05,41.22215940562277,nan
2025-02-28 12:18:00,BREAKOUT SHORT,22231.7,22231.7,22231.7,42.84946665422522,nan
2025-02-28 12:19:00,BREAKOUT SHORT,22231.7,22235.75,22231.7,42.84946665422522,nan
2025-02-28 12:20:01,BREAKOUT SHORT,22241.25,22241.25,22241.25,48.39438403317751,nan
2025-02-28 12:21:00,BREAKOUT SHORT,22238.3,22238.3,22238.3,46.79995408469001,nan
2025-02-28 12:22:01,BREAKOUT SHORT,22238.3,22236.45,22238.3,46.79995408469001,nan
2025-02-28 12:23:00,BREAKOUT SHORT,22239.55,22239.55,22239.55,47.53958134507881,nan
2025-02-28 12:24:01,BREAKOUT SHORT,22248.4,22248.4,22248.4,52.24061032405247,nan
2025-02-28 12:25:00,BREAKOUT SHORT,22248.4,22241.85,22248.4,52.24061032405247,nan
2025-02-28 12:26:01,BREAKOUT SHORT,22245.35,22245.35,22245.35,50.559091663827196,nan
2025-02-28 12:27:00,BREAKOUT SHORT,22242.7,22242.7,22242.7,49.18359434717129,nan
2025-02-28 16:16:19,BREAKOUT SHORT,22262.15,22275.95,22262.15,30.35752051999542,nan
2025-02-28 16:17:00,BREAKOUT SHORT,22265.5,22265.5,22265.5,31.747580935840915,nan
2025-02-28 16:18:00,BREAKOUT SHORT,22268.35,22268.35,22268.35,32.887213306294,nan
2025-02-28 16:19:01,BREAKOUT SHORT,22268.35,22276.85,22268.35,32.887213306294,nan
2025-02-28 16:20:00,BREAKOUT SHORT,22286.55,22286.55,22286.55,39.800018195163574,nan
2025-02-28 16:21:01,BREAKOUT SHORT,22278.85,22278.85,22278.85,37.05708509326284,nan
2025-02-28 16:22:00,BREAKOUT SHORT,22278.85,22287.05,22278.85,37.05708509326284,nan
2025-02-28 16:23:00,BREAKOUT SHORT,22273.5,22273.5,22273.5,35.83534674206567,nan
2025-02-28 16:24:00,BREAKOUT SHORT,22282.9,22282.9,22282.9,38.640695209449675,nan
2025-02-28 16:25:00,BREAKOUT SHORT,22282.9,22291.05,22282.9,38.640695209449675,nan
2025-02-28 16:26:00,BREAKOUT SHORT,22283.65,22283.65,22283.65,38.947031973998726,nan
2025-02-28 16:27:01,BREAKOUT SHORT,22279.05,22279.05,22279.05,37.67042580942241,nan
2025-02-28 16:28:00,BREAKOUT SHORT,22279.05,22277.5,22279.05,37.67042580942241,nan
2025-02-28 16:29:00,BREAKOUT SHORT,22276.45,22276.45,22276.45,36.99483184205172,nan
2025-02-28 16:30:00,BREAKOUT SHORT,22272.1,22272.1,22272.1,35.91712001611154,nan
2025-02-28 16:31:01,BREAKOUT SHORT,22272.1,22275.15,22272.1,35.91712001611154,nan
2025-02-28 16:32:00,BREAKOUT SHORT,22278.4,22278.4,22278.4,38.70222933684402,nan
2025-02-28 16:33:00,BREAKOUT SHORT,22285.6,22285.6,22285.6,41.60280474949814,nan
